iter	MultiRMSE
0	49.84111058
1	48.4928583
2	47.18155614
3	45.91498337
4	44.69551322
5	43.50548807
6	42.36672345
7	41.25494351
8	40.18232028
9	39.12634091
10	38.10304529
11	37.11940429
12	36.16269282
13	35.24598144
14	34.35024561
15	33.49160238
16	32.66258872
17	31.85025254
18	31.06428767
19	30.30341339
20	29.5629105
21	28.85660821
22	28.1659502
23	27.50693838
24	26.87420344
25	26.25671669
26	25.66616704
27	25.103637
28	24.54032413
29	23.99657028
30	23.4703835
31	22.97183638
32	22.48717151
33	22.01878772
34	21.57244104
35	21.13315621
36	20.72281882
37	20.31639792
38	19.92694024
39	19.56761415
40	19.20973362
41	18.86481503
42	18.53816793
43	18.21897811
44	17.914888
45	17.61847718
46	17.3415633
47	17.07652566
48	16.82051843
49	16.56735506
50	16.32687653
51	16.09950873
52	15.88813261
53	15.67800698
54	15.47929728
55	15.28626506
56	15.10602941
57	14.93023309
58	14.76059153
59	14.60464896
60	14.44940783
61	14.30309902
62	14.16394455
63	14.03407573
64	13.90832415
65	13.79040824
66	13.67604419
67	13.56660986
68	13.46209428
69	13.36365561
70	13.26726337
71	13.1789572
72	13.09377403
73	13.01312723
74	12.93454312
75	12.86077228
76	12.79482949
77	12.72664554
78	12.66187539
79	12.60192719
80	12.54608562
81	12.49160744
82	12.44056529
83	12.39325287
84	12.3488039
85	12.30606281
86	12.26511502
87	12.2270241
88	12.19122125
89	12.15562138
90	12.1240909
91	12.09176555
92	12.06115903
93	12.03418262
94	12.00672159
95	11.98082918
96	11.95656685
97	11.93362469
98	11.91142881
99	11.89049358
100	11.87139226
101	11.85094767
102	11.83246992
103	11.81617083
104	11.80030465
105	11.78409871
106	11.77018207
107	11.75581696
108	11.74336881
109	11.73000205
110	11.71823217
111	11.70792562
112	11.6975356
113	11.68662834
114	11.67672708
115	11.66801036
116	11.65959037
117	11.65079058
118	11.64293653
119	11.63554186
120	11.62912469
121	11.62254013
122	11.6160857
123	11.60992944
124	11.60425347
125	11.59840444
126	11.59329362
127	11.58777322
128	11.58352843
129	11.57850556
130	11.57310276
131	11.56947106
132	11.56499026
133	11.5616342
134	11.55799788
135	11.55468768
136	11.55128176
137	11.54822428
138	11.5457762
139	11.54246197
140	11.53901175
141	11.53573847
142	11.53309431
143	11.53071522
144	11.52734658
145	11.52336303
146	11.52063385
147	11.51861936
148	11.51552167
149	11.51364438
150	11.5105779
151	11.50924015
152	11.50726697
153	11.50426402
154	11.50269871
155	11.50064778
156	11.49837259
157	11.49522004
158	11.4935429
159	11.49031251
160	11.48921241
161	11.4867918
162	11.48539948
163	11.48314401
164	11.482106
165	11.48134987
166	11.47925491
167	11.47833441
168	11.47522874
169	11.47155927
170	11.46988864
171	11.46885792
172	11.46709766
173	11.46594636
174	11.46426733
175	11.4609402
176	11.45988953
177	11.45829082
178	11.45683795
179	11.45579916
180	11.45478931
181	11.45351457
182	11.45248992
183	11.45077286
184	11.44896516
185	11.44702141
186	11.44574107
187	11.44530047
188	11.44441511
189	11.44350901
190	11.4421494
191	11.44063932
192	11.43895196
193	11.43788139
194	11.43619778
195	11.43454617
196	11.43280471
197	11.43180789
198	11.4309549
199	11.43006923
200	11.42919464
201	11.4276287
202	11.42711461
203	11.42617721
204	11.42461652
205	11.42285744
206	11.42254156
207	11.42163092
208	11.42046491
209	11.41872809
210	11.41733285
211	11.41582908
212	11.41479625
213	11.4127169
214	11.41199446
215	11.41135151
216	11.40977072
217	11.40880291
218	11.4083569
219	11.40704441
220	11.40614153
221	11.40546853
222	11.40433978
223	11.40224689
224	11.39993682
225	11.39925434
226	11.39795628
227	11.39608821
228	11.39483127
229	11.39430269
230	11.39372229
231	11.39193936
232	11.38989414
233	11.38852823
234	11.387966
235	11.38664393
236	11.38534292
237	11.38490988
238	11.38397799
239	11.38294026
240	11.38085937
241	11.38007946
242	11.37890569
243	11.3781682
244	11.3770168
245	11.37559477
246	11.37353951
247	11.37238591
248	11.37190923
249	11.37029251
250	11.36980021
251	11.36832736
252	11.3677589
253	11.36636658
254	11.36503965
255	11.36411442
256	11.36298944
257	11.36265867
258	11.36193998
259	11.36091695
260	11.35978774
261	11.35806114
262	11.35725188
263	11.35624252
264	11.35544331
265	11.35439091
266	11.35385077
267	11.35279286
268	11.35233581
269	11.35081297
270	11.34968412
271	11.348688
272	11.34776413
273	11.34738756
274	11.34665261
275	11.34606605
276	11.34522527
277	11.34457415
278	11.34376941
279	11.34228128
280	11.34122231
281	11.33986712
282	11.33902852
283	11.33802728
284	11.33728694
285	11.33617209
286	11.33520704
287	11.33456232
288	11.33385527
289	11.33328304
290	11.33232626
291	11.33200315
292	11.33101976
293	11.33040104
294	11.32974908
295	11.3288012
296	11.3282859
297	11.32727978
298	11.32636196
299	11.32593246
300	11.32575358
301	11.32481509
302	11.32355288
303	11.32211082
304	11.32200096
305	11.3205381
306	11.32014903
