iter	Passed	Remaining
0	4	2651
1	9	2556
2	13	2536
3	18	2519
4	22	2523
5	27	2504
6	32	2511
7	36	2512
8	41	2515
9	46	2519
10	50	2511
11	55	2509
12	60	2509
13	65	2507
14	69	2506
15	74	2495
16	78	2486
17	83	2478
18	87	2470
19	92	2463
20	96	2456
21	101	2450
22	106	2452
23	112	2479
24	117	2495
25	123	2509
26	129	2522
27	134	2533
28	139	2530
29	145	2538
30	151	2552
31	157	2564
32	163	2574
33	169	2586
34	174	2593
35	180	2596
36	185	2597
37	192	2608
38	197	2611
39	203	2616
40	209	2619
41	214	2620
42	220	2622
43	226	2627
44	232	2631
45	238	2634
46	244	2633
47	250	2636
48	255	2634
49	261	2636
50	267	2636
51	273	2637
52	279	2638
53	285	2638
54	291	2640
55	297	2642
56	302	2640
57	307	2633
58	314	2634
59	318	2625
60	324	2621
61	329	2616
62	334	2610
63	340	2610
64	346	2610
65	348	2577
66	354	2577
67	360	2575
68	366	2573
69	372	2573
70	377	2565
71	383	2565
72	388	2562
73	394	2560
74	399	2551
75	405	2549
76	411	2548
77	417	2546
78	423	2546
79	429	2543
80	439	2567
81	445	2561
82	450	2557
83	456	2553
84	461	2547
85	466	2539
86	472	2534
87	478	2532
88	483	2524
89	489	2522
90	494	2517
91	499	2510
92	506	2510
93	512	2506
94	517	2502
95	523	2499
96	529	2495
97	535	2492
98	541	2489
99	547	2485
100	553	2481
101	558	2476
102	564	2471
103	570	2467
104	575	2463
105	581	2458
106	587	2454
107	593	2450
108	599	2445
109	604	2440
110	610	2436
111	615	2429
112	619	2419
113	624	2410
114	629	2401
115	633	2392
116	638	2383
117	642	2375
118	647	2366
119	651	2357
120	656	2348
121	660	2339
122	665	2331
123	669	2322
124	674	2314
125	678	2305
126	683	2297
127	688	2290
128	692	2282
129	697	2274
130	702	2267
131	706	2259
132	711	2251
133	716	2244
134	720	2236
135	725	2229
136	730	2223
137	734	2215
138	738	2205
139	742	2196
140	746	2187
141	750	2177
142	754	2168
143	758	2159
144	762	2150
145	766	2141
146	770	2132
147	774	2123
148	778	2115
149	782	2107
150	786	2099
151	794	2101
152	799	2094
153	803	2085
154	806	2077
155	810	2068
156	814	2059
157	818	2051
158	823	2044
159	828	2039
160	832	2031
161	836	2023
162	839	2014
163	845	2011
164	850	2005
165	862	2015
166	866	2008
167	872	2005
168	877	1999
169	882	1993
170	887	1987
171	892	1981
172	897	1975
173	909	1985
174	914	1981
175	919	1974
176	923	1967
177	928	1960
178	935	1959
179	940	1953
180	944	1947
181	949	1940
182	954	1935
183	959	1929
184	964	1923
185	969	1917
186	978	1921
187	983	1915
188	988	1909
189	993	1902
190	997	1896
191	1005	1895
192	1009	1889
193	1014	1883
194	1019	1877
195	1164	2127
196	1169	2119
197	1175	2112
198	1178	2102
199	1182	2093
200	1246	2189
201	1251	2181
202	1265	2188
203	1269	2177
204	1272	2166
205	1285	2171
206	1291	2165
207	1296	2157
208	1300	2146
209	1304	2136
210	1342	2182
211	1346	2172
212	1350	2161
213	1354	2151
214	1357	2140
215	1361	2130
216	1370	2127
217	1401	2159
218	1404	2149
219	1408	2138
220	1412	2128
221	1429	2138
222	1434	2129
223	1442	2124
224	1445	2114
225	1452	2108
226	1457	2099
227	1461	2089
228	1465	2079
229	1471	2073
230	1484	2076
231	1489	2067
232	1504	2072
233	1508	2063
234	1513	2054
235	1518	2045
236	1522	2036
237	1528	2029
238	1533	2020
239	1538	2013
240	1543	2004
241	1548	1996
242	1552	1987
243	1557	1978
244	1562	1970
245	1566	1961
246	1571	1953
247	1576	1944
248	1580	1936
249	1585	1928
250	1590	1920
251	1595	1911
252	1599	1903
253	1604	1895
254	1610	1887
255	1614	1879
256	1619	1871
257	1624	1863
258	1630	1856
259	1636	1850
260	1642	1844
261	1648	1837
262	1655	1831
263	1660	1824
264	1666	1817
265	1672	1810
266	1678	1804
267	1684	1797
268	1689	1790
269	1695	1783
270	1701	1776
271	1707	1770
272	1713	1763
273	1719	1756
274	1725	1750
275	1730	1743
276	1736	1736
277	1742	1730
278	1748	1723
279	1753	1716
280	1758	1708
281	1762	1700
282	1767	1692
283	1773	1685
284	1779	1679
285	1785	1672
286	1790	1666
287	1796	1659
288	1802	1652
289	1808	1646
290	1814	1639
291	1819	1632
292	1825	1626
293	1831	1619
294	1837	1612
295	1841	1605
296	1846	1597
297	1851	1590
298	1857	1584
299	1863	1577
300	1869	1571
