,set,p,ba,c,theta,skew,gamma,loss,stfr,resit,gcm,crt,cpt,rbpt,rbpt2
0,type1_1,10,0,0.0,0.0,0,0.0,mse,0.01,0.0,0.01,,,0.02,0.01
1,type1_1,10,0,0.0,0.0,0,0.006666666666666667,mse,0.08,0.16,0.01,,,0.0,0.01
2,type1_1,10,0,0.0,0.0,0,0.013333333333333334,mse,0.17,0.24,0.33,,,0.0,0.01
3,type1_1,10,0,0.0,0.0,0,0.02,mse,0.33,0.48,0.65,,,0.0,0.0
4,type1_1,10,0,0.0,0.0,0,0.02666666666666667,mse,0.49,0.65,0.82,,,0.0,0.0
5,type1_1,10,0,0.0,0.0,0,0.03333333333333333,mse,0.65,0.74,0.91,,,0.0,0.0
6,type1_1,10,0,0.0,0.0,0,0.04,mse,0.82,0.91,0.91,,,0.0,0.0
7,type1_2,10,0,0.0,0.0,0,0.0,mse,,,,0.0,0.0,0.0,
8,type1_2,10,0,0.0,1.0,0,0.0,mse,,,,0.09,0.0,0.0,
9,type1_2,10,0,0.0,2.0,0,0.0,mse,,,,0.09,0.0,0.0,
10,type1_2,10,0,0.0,3.0,0,0.0,mse,,,,0.09,0.0,0.0,
11,type1_2,10,0,0.0,4.0,0,0.0,mse,,,,0.34,0.0,0.0,
12,type1_2,10,0,0.0,5.0,0,0.0,mse,,,,0.34,0.0,0.0,
13,type1_2,10,0,0.0,6.0,0,0.0,mse,,,,0.42,0.0,0.0,
14,power,10,0,0.0,0.0,0,0.0,mse,,,,,0.01,0.01,0.01
15,power,10,0,0.08333333333333333,0.0,0,0.0,mse,,,,,0.1,0.01,0.01
16,power,10,0,0.16666666666666666,0.0,0,0.0,mse,,,,,0.67,0.01,0.02
17,power,10,0,0.25,0.0,0,0.0,mse,,,,,0.67,0.1,0.34
18,power,10,0,0.3333333333333333,0.0,0,0.0,mse,,,,,0.83,0.5,0.5
19,power,10,0,0.41666666666666663,0.0,0,0.0,mse,,,,,0.92,0.75,0.74
20,power,10,0,0.5,0.0,0,0.0,mse,,,,,1.0,0.83,0.75
21,type1_1,10,1,0.0,0.0,0,0.0,mse,0.0,0.01,0.0,,,0.0,0.0
22,type1_1,10,1,0.0,0.0,0,0.006666666666666667,mse,0.0,0.17,0.0,,,0.0,0.0
23,type1_1,10,1,0.0,0.0,0,0.013333333333333334,mse,0.16,0.33,0.16,,,0.0,0.0
24,type1_1,10,1,0.0,0.0,0,0.02,mse,0.24,0.33,0.32,,,0.0,0.0
25,type1_1,10,1,0.0,0.0,0,0.02666666666666667,mse,0.24,0.51,0.57,,,0.0,0.0
26,type1_1,10,1,0.0,0.0,0,0.03333333333333333,mse,0.4,0.68,0.74,,,0.0,0.0
27,type1_1,10,1,0.0,0.0,0,0.04,mse,0.56,0.84,0.75,,,0.0,0.0
28,type1_2,10,1,0.0,0.0,0,0.0,mse,,,,0.0,0.0,0.0,
29,type1_2,10,1,0.0,1.0,0,0.0,mse,,,,0.16,0.0,0.0,
30,type1_2,10,1,0.0,2.0,0,0.0,mse,,,,0.25,0.0,0.08,
31,type1_2,10,1,0.0,3.0,0,0.0,mse,,,,0.33,0.0,0.08,
32,type1_2,10,1,0.0,4.0,0,0.0,mse,,,,0.41,0.0,0.08,
33,type1_2,10,1,0.0,5.0,0,0.0,mse,,,,0.43,0.0,0.08,
34,type1_2,10,1,0.0,6.0,0,0.0,mse,,,,0.43,0.0,0.08,
35,power,10,1,0.0,0.0,0,0.0,mse,,,,,0.0,0.0,0.0
36,power,10,1,0.08333333333333333,0.0,0,0.0,mse,,,,,0.09,0.01,0.01
37,power,10,1,0.16666666666666666,0.0,0,0.0,mse,,,,,0.66,0.01,0.02
38,power,10,1,0.25,0.0,0,0.0,mse,,,,,0.75,0.1,0.26
39,power,10,1,0.3333333333333333,0.0,0,0.0,mse,,,,,0.91,0.5,0.5
40,power,10,1,0.41666666666666663,0.0,0,0.0,mse,,,,,0.99,0.75,0.74
41,power,10,1,0.5,0.0,0,0.0,mse,,,,,1.0,0.83,0.75
