,set,p,ba,c,theta,skew,gamma,loss,stfr,resit,gcm,crt,cpt,rbpt,rbpt2
0,type1_1,10,0,0.0,0.0,0,0.0,mse,0.1,0.0,0.1,,,0.0,0.0
1,type1_1,10,0,0.0,0.0,0,0.006666666666666667,mse,0.125,0.025,0.125,,,0.0,0.125
2,type1_1,10,0,0.0,0.0,0,0.013333333333333334,mse,0.025,0.125,0.025,,,0.0,0.125
3,type1_1,10,0,0.0,0.0,0,0.02,mse,0.125,0.225,0.125,,,0.0,0.025
4,type1_1,10,0,0.0,0.0,0,0.02666666666666667,mse,0.325,0.4625,0.425,,,0.0,0.025
5,type1_1,10,0,0.0,0.0,0,0.03333333333333333,mse,0.325,0.5625,0.7625,,,0.0,0.025
6,type1_1,10,0,0.0,0.0,0,0.04,mse,0.425,0.5625,0.8625,,,0.0,0.025
7,type1_2,10,0,0.0,0.0,0,0.0,mse,,,,0.0,0.0,0.0,
8,type1_2,10,0,0.0,1.0,0,0.0,mse,,,,0.0,0.0,0.0,
9,type1_2,10,0,0.0,2.0,0,0.0,mse,,,,0.2,0.0,0.0,
10,type1_2,10,0,0.0,3.0,0,0.0,mse,,,,0.3,0.0,0.1,
11,type1_2,10,0,0.0,4.0,0,0.0,mse,,,,0.3,0.0,0.1,
12,type1_2,10,0,0.0,5.0,0,0.0,mse,,,,0.3,0.0,0.1,
13,type1_2,10,0,0.0,6.0,0,0.0,mse,,,,0.3,0.0,0.1,
14,power,10,0,0.0,0.0,0,0.0,mse,,,,,0.0375,0.025,0.0
15,power,10,0,0.08333333333333333,0.0,0,0.0,mse,,,,,0.1625,0.1625,0.2
16,power,10,0,0.16666666666666666,0.0,0,0.0,mse,,,,,0.4,0.4,0.4
17,power,10,0,0.25,0.0,0,0.0,mse,,,,,0.7,0.4,0.7
18,power,10,0,0.3333333333333333,0.0,0,0.0,mse,,,,,0.9,0.5,0.9
19,power,10,0,0.41666666666666663,0.0,0,0.0,mse,,,,,0.9,0.7,0.9
20,power,10,0,0.5,0.0,0,0.0,mse,,,,,1.0,1.0,1.0
21,type1_1,10,1,0.0,0.0,0,0.0,mse,0.1,0.025,0.0,,,0.0,0.1
22,type1_1,10,1,0.0,0.0,0,0.006666666666666667,mse,0.125,0.1625,0.1625,,,0.0,0.1
23,type1_1,10,1,0.0,0.0,0,0.013333333333333334,mse,0.1625,0.2625,0.1625,,,0.0,0.3
24,type1_1,10,1,0.0,0.0,0,0.02,mse,0.1625,0.3625,0.2625,,,0.0,0.2
25,type1_1,10,1,0.0,0.0,0,0.02666666666666667,mse,0.2625,0.6,0.3625,,,0.0,0.1
26,type1_1,10,1,0.0,0.0,0,0.03333333333333333,mse,0.3625,0.7,0.5625,,,0.0,0.1
27,type1_1,10,1,0.0,0.0,0,0.04,mse,0.3625,0.9,0.6625,,,0.0,0.1
28,type1_2,10,1,0.0,0.0,0,0.0,mse,,,,0.0,0.0,0.0,
29,type1_2,10,1,0.0,1.0,0,0.0,mse,,,,0.0,0.0,0.0,
30,type1_2,10,1,0.0,2.0,0,0.0,mse,,,,0.1,0.0,0.0,
31,type1_2,10,1,0.0,3.0,0,0.0,mse,,,,0.3,0.0,0.0,
32,type1_2,10,1,0.0,4.0,0,0.0,mse,,,,0.3,0.0,0.0,
33,type1_2,10,1,0.0,5.0,0,0.0,mse,,,,0.3,0.0,0.0,
34,type1_2,10,1,0.0,6.0,0,0.0,mse,,,,0.3,0.0,0.0,
35,power,10,1,0.0,0.0,0,0.0,mse,,,,,0.0,0.025,0.0375
36,power,10,1,0.08333333333333333,0.0,0,0.0,mse,,,,,0.2,0.2,0.2
37,power,10,1,0.16666666666666666,0.0,0,0.0,mse,,,,,0.6,0.4,0.5
38,power,10,1,0.25,0.0,0,0.0,mse,,,,,0.9,0.4,0.6
39,power,10,1,0.3333333333333333,0.0,0,0.0,mse,,,,,0.9,0.5,0.9
40,power,10,1,0.41666666666666663,0.0,0,0.0,mse,,,,,1.0,0.7,1.0
41,power,10,1,0.5,0.0,0,0.0,mse,,,,,1.0,1.0,1.0
42,type1_1,10,2,0.0,0.0,0,0.0,mse,0.1,0.0,0.0,,,0.0,0.0
43,type1_1,10,2,0.0,0.0,0,0.006666666666666667,mse,0.1,0.0,0.1,,,0.0,0.0375
44,type1_1,10,2,0.0,0.0,0,0.013333333333333334,mse,0.1375,0.0,0.2375,,,0.0,0.0375
45,type1_1,10,2,0.0,0.0,0,0.02,mse,0.3375,0.3375,0.4375,,,0.0,0.0375
46,type1_1,10,2,0.0,0.0,0,0.02666666666666667,mse,0.3375,0.6375,0.5375,,,0.0,0.0375
47,type1_1,10,2,0.0,0.0,0,0.03333333333333333,mse,0.4375,0.6625,0.7,,,0.0,0.0375
48,type1_1,10,2,0.0,0.0,0,0.04,mse,0.5375,0.7,0.8,,,0.0,0.0375
49,type1_2,10,2,0.0,0.0,0,0.0,mse,,,,0.0,0.0,0.0,
50,type1_2,10,2,0.0,1.0,0,0.0,mse,,,,0.1,0.0,0.0,
51,type1_2,10,2,0.0,2.0,0,0.0,mse,,,,0.3,0.0,0.0,
52,type1_2,10,2,0.0,3.0,0,0.0,mse,,,,0.3,0.0,0.0,
53,type1_2,10,2,0.0,4.0,0,0.0,mse,,,,0.3,0.0,0.0,
54,type1_2,10,2,0.0,5.0,0,0.0,mse,,,,0.3,0.0,0.0,
55,type1_2,10,2,0.0,6.0,0,0.0,mse,,,,0.3,0.0,0.0,
56,power,10,2,0.0,0.0,0,0.0,mse,,,,,0.0,0.025,0.0
57,power,10,2,0.08333333333333333,0.0,0,0.0,mse,,,,,0.1625,0.0625,0.3
58,power,10,2,0.16666666666666666,0.0,0,0.0,mse,,,,,0.5625,0.4,0.5
59,power,10,2,0.25,0.0,0,0.0,mse,,,,,0.9,0.4,0.7
60,power,10,2,0.3333333333333333,0.0,0,0.0,mse,,,,,0.9,0.5,0.9
61,power,10,2,0.41666666666666663,0.0,0,0.0,mse,,,,,1.0,0.7,0.9
62,power,10,2,0.5,0.0,0,0.0,mse,,,,,1.0,1.0,1.0
63,type1_1,10,3,0.0,0.0,0,0.0,mse,0.0,0.0,0.0,,,0.0,0.0
64,type1_1,10,3,0.0,0.0,0,0.006666666666666667,mse,0.0,0.0,0.0,,,0.0,0.0
65,type1_1,10,3,0.0,0.0,0,0.013333333333333334,mse,0.0,0.0,0.0,,,0.0,0.0
66,type1_1,10,3,0.0,0.0,0,0.02,mse,0.0,0.3,0.2,,,0.0,0.0
67,type1_1,10,3,0.0,0.0,0,0.02666666666666667,mse,0.1,0.4,0.3,,,0.0,0.0
68,type1_1,10,3,0.0,0.0,0,0.03333333333333333,mse,0.2,0.5625,0.5,,,0.0,0.0
69,type1_1,10,3,0.0,0.0,0,0.04,mse,0.3,0.8625,0.6375,,,0.0,0.0
70,type1_2,10,3,0.0,0.0,0,0.0,mse,,,,0.0,0.0,0.0,
71,type1_2,10,3,0.0,1.0,0,0.0,mse,,,,0.1,0.0,0.0,
72,type1_2,10,3,0.0,2.0,0,0.0,mse,,,,0.1,0.0,0.0,
73,type1_2,10,3,0.0,3.0,0,0.0,mse,,,,0.3,0.0,0.1,
74,type1_2,10,3,0.0,4.0,0,0.0,mse,,,,0.3,0.0,0.1,
75,type1_2,10,3,0.0,5.0,0,0.0,mse,,,,0.3,0.0,0.1,
76,type1_2,10,3,0.0,6.0,0,0.0,mse,,,,0.3,0.0,0.1,
77,power,10,3,0.0,0.0,0,0.0,mse,,,,,0.0,0.0,0.0375
78,power,10,3,0.08333333333333333,0.0,0,0.0,mse,,,,,0.1375,0.2,0.1625
79,power,10,3,0.16666666666666666,0.0,0,0.0,mse,,,,,0.5,0.4,0.5
80,power,10,3,0.25,0.0,0,0.0,mse,,,,,0.8,0.4,0.7
