,set,p,ba,c,theta,skew,u,gamma,loss,stfr,resit,gcm,crt,cpt,rbpt,rbpt2,stfr_time,resit_time,gcm_time,crt_time,cpt_time,rbpt_time,rbpt2_time
0,type1_sim,20,0,0.0,0,0,0,0.0,mse,,,,0.0916666666666666,0.0979166666666666,0.1,,,,,0.0173878719409306,0.6513370777169863,0.0004650220274925,
1,type1_sim,20,0,0.0,0,0,0,0.005,mse,,,,0.1125,0.1041666666666666,0.0958333333333333,,,,,0.0166926940282185,0.6352437347173691,0.000454357266426,
2,type1_sim,20,0,0.0,0,0,0,0.01,mse,,,,0.1208333333333333,0.1041666666666666,0.09375,,,,,0.0169728259245554,0.6311476573348045,0.0004922856887181,
3,type1_sim,20,0,0.0,0,0,0,0.015,mse,,,,0.11875,0.1166666666666666,0.0895833333333333,,,,,0.0168990671634674,0.6396236528952917,0.0004858637849489,
4,type1_sim,20,0,0.0,0,0,0,0.02,mse,,,,0.1125,0.1145833333333333,0.0770833333333333,,,,,0.0180562078952789,0.6398681859175365,0.000469500819842,
5,type1_sim,20,0,0.0,1,0,0,0.0,mse,,,,0.1770833333333333,0.0895833333333333,0.0979166666666666,,,,,0.0176695957779884,0.6609558453162511,0.0005074679851531,
6,type1_sim,20,0,0.0,1,0,0,0.005,mse,,,,0.2083333333333333,0.1041666666666666,0.10625,,,,,0.0173925325274467,0.6424319411317507,0.0004524285594622,
7,type1_sim,20,0,0.0,1,0,0,0.01,mse,,,,0.2083333333333333,0.1083333333333333,0.10625,,,,,0.016476604839166,0.6395716086030007,0.0004579613606135,
8,type1_sim,20,0,0.0,1,0,0,0.015,mse,,,,0.23125,0.1041666666666666,0.10625,,,,,0.0166496291756629,0.6386536826690038,0.0004618798693021,
9,type1_sim,20,0,0.0,1,0,0,0.02,mse,,,,0.2291666666666666,0.1104166666666666,0.10625,,,,,0.0175674190123875,0.6614065676927566,0.0004581863681475,
10,type1_sim,20,0,0.0,2,0,0,0.0,mse,,,,0.2770833333333333,0.09375,0.1166666666666666,,,,,0.0168012802799542,0.6280820826689403,0.0004990210135777,
11,type1_sim,20,0,0.0,2,0,0,0.005,mse,,,,0.3020833333333333,0.1020833333333333,0.1229166666666666,,,,,0.0166964376966158,0.6410851399103801,0.0004581009348233,
12,type1_sim,20,0,0.0,2,0,0,0.01,mse,,,,0.3291666666666666,0.1,0.1229166666666666,,,,,0.0166838765144348,0.6262098823984464,0.000450283785661,
13,type1_sim,20,0,0.0,2,0,0,0.015,mse,,,,0.3416666666666667,0.1104166666666666,0.1375,,,,,0.0172082692384719,0.6366696024934451,0.0004806980490684,
14,type1_sim,20,0,0.0,2,0,0,0.02,mse,,,,0.3729166666666667,0.1083333333333333,0.1458333333333333,,,,,0.0184270133574803,0.6441134442885716,0.0005226289232571,
15,type1_sim,20,0,0.0,3,0,0,0.0,mse,,,,0.3395833333333333,0.0854166666666666,0.125,,,,,0.0190153434872627,0.6784259686867397,0.0004868194460868,
16,type1_sim,20,0,0.0,3,0,0,0.005,mse,,,,0.3875,0.0958333333333333,0.1354166666666666,,,,,0.0170067111651102,0.6528704678018887,0.000530549387137,
17,type1_sim,20,0,0.0,3,0,0,0.01,mse,,,,0.4083333333333333,0.1083333333333333,0.15625,,,,,0.0165989836057027,0.6505026042461395,0.0004549592733383,
18,type1_sim,20,0,0.0,3,0,0,0.015,mse,,,,0.4354166666666667,0.1020833333333333,0.1833333333333333,,,,,0.0182882294058799,0.6584639549255371,0.0004909719030062,
19,type1_sim,20,0,0.0,3,0,0,0.02,mse,,,,0.4645833333333333,0.1083333333333333,0.2,,,,,0.0207092071572939,0.697418338060379,0.0005625541011492,
20,type1_sim,20,0,0.0,4,0,0,0.0,mse,,,,0.3854166666666667,0.0958333333333333,0.1354166666666666,,,,,0.0194824730356534,0.7137747585773468,0.0005493447184562,
21,type1_sim,20,0,0.0,4,0,0,0.005,mse,,,,0.41875,0.10625,0.1458333333333333,,,,,0.0210025325417518,0.7384610325098038,0.0005323564012845,
22,type1_sim,20,0,0.0,4,0,0,0.01,mse,,,,0.45625,0.1,0.1791666666666666,,,,,0.0159518485267957,0.6174213270346324,0.0004440849026044,
23,type1_sim,20,0,0.0,4,0,0,0.015,mse,,,,0.50625,0.1041666666666666,0.2125,,,,,0.0155392438173294,0.6089802662531535,0.0004220048586527,
24,type1_sim,20,0,0.0,4,0,0,0.02,mse,,,,0.5520833333333334,0.1104166666666666,0.25,,,,,0.0153243362903594,0.592189545929432,0.000444720685482,
25,type1_reg,20,0,0.0,0,0,0,0.0,mse,0.0895833333333333,0.0958333333333333,0.1208333333333333,,,0.1,0.0895833333333333,0.0006039907534917,0.1296371753017107,0.000631911555926,,,0.0006110087037086,0.8166805893182755
26,type1_reg,20,0,0.0,0,0,0,0.005,mse,0.3854166666666667,0.5166666666666667,0.525,,,0.0958333333333333,0.11875,0.0005804558595021,0.12655907223622,0.0006134003400802,,,0.000572953124841,0.8071309134364129
27,type1_reg,20,0,0.0,0,0,0,0.01,mse,0.6791666666666667,0.9041666666666668,0.9354166666666668,,,0.09375,0.1145833333333333,0.0005953386425971,0.1271974931160609,0.0006213213006655,,,0.0005659148097038,0.8060487816731136
28,type1_reg,20,0,0.0,0,0,0,0.015,mse,0.8979166666666667,0.9875,0.9979166666666668,,,0.0895833333333333,0.1083333333333333,0.0004789302746454,0.0760870635509491,0.0004140789310137,,,0.0003618558247884,0.800169130663077
29,type1_reg,20,0,0.0,0,0,0,0.02,mse,0.975,1.0,0.9979166666666668,,,0.0770833333333333,0.1083333333333333,0.0005005071560541,0.0853641937176386,0.0004346912105878,,,0.0003953367471694,0.807600678006808
30,type1_sim,20,0,0.0,0,3,0,0.0,mse,,,,0.0979166666666666,0.0958333333333333,0.1020833333333333,,,,,0.0203668837745984,0.7226977999011676,0.000518532594045,
31,type1_sim,20,0,0.0,0,3,0,0.005,mse,,,,0.1229166666666666,0.10625,0.1145833333333333,,,,,0.0177521745363871,0.6450156778097152,0.000466983517011,
32,type1_sim,20,0,0.0,0,3,0,0.01,mse,,,,0.1125,0.1083333333333333,0.1104166666666666,,,,,0.0176382780075073,0.6629717583457629,0.000534139573574,
33,type1_sim,20,0,0.0,0,3,0,0.015,mse,,,,0.1145833333333333,0.10625,0.09375,,,,,0.017930926879247,0.6721563736597697,0.0004750038186709,
34,type1_sim,20,0,0.0,0,3,0,0.02,mse,,,,0.11875,0.1125,0.0770833333333333,,,,,0.0206149970491727,0.6908779407540957,0.0004789819320042,
35,type1_sim,20,0,0.0,1,3,0,0.0,mse,,,,0.3041666666666666,0.0958333333333333,0.1083333333333333,,,,,0.0165033345421155,0.6347025498747826,0.0004524355133374,
36,type1_sim,20,0,0.0,1,3,0,0.005,mse,,,,0.6083333333333333,0.1125,0.1479166666666666,,,,,0.0189198940992355,0.6503445039192836,0.0004639705022176,
37,type1_sim,20,0,0.0,1,3,0,0.01,mse,,,,0.6083333333333333,0.1083333333333333,0.14375,,,,,0.0180489957332611,0.6528617034355799,0.0004798248410224,
38,type1_sim,20,0,0.0,1,3,0,0.015,mse,,,,0.6333333333333333,0.0958333333333333,0.1395833333333333,,,,,0.0184576615691185,0.6669717912872632,0.0004866023858388,
39,type1_sim,20,0,0.0,1,3,0,0.02,mse,,,,0.625,0.1041666666666666,0.1395833333333333,,,,,0.0171080226699511,0.6454333662986755,0.0005291998386383,
40,type1_sim,20,0,0.0,2,3,0,0.0,mse,,,,0.3916666666666666,0.0958333333333333,0.1166666666666666,,,,,0.016237782438596,0.6304531420270602,0.0004861588279406,
41,type1_sim,20,0,0.0,2,3,0,0.005,mse,,,,0.7979166666666667,0.1166666666666666,0.18125,,,,,0.0182571743925412,0.644024382531643,0.0004663571715354,
42,type1_sim,20,0,0.0,2,3,0,0.01,mse,,,,0.8208333333333333,0.1104166666666666,0.1916666666666666,,,,,0.018059670428435,0.6370856707294782,0.0004812096556027,
43,type1_sim,20,0,0.0,2,3,0,0.015,mse,,,,0.8333333333333334,0.0979166666666666,0.2145833333333333,,,,,0.0169278095165888,0.6441153392195702,0.0004466195901234,
44,type1_sim,20,0,0.0,2,3,0,0.02,mse,,,,0.8583333333333333,0.10625,0.2270833333333333,,,,,0.0162916839122772,0.6211011469364166,0.0004469652970631,
45,type1_sim,20,0,0.0,3,3,0,0.0,mse,,,,0.4395833333333333,0.0729166666666666,0.125,,,,,0.0178105185429255,0.6251564060648283,0.0004328226049741,
46,type1_sim,20,0,0.0,3,3,0,0.005,mse,,,,0.86875,0.0979166666666666,0.1854166666666666,,,,,0.0171785275141398,0.6419022276997566,0.0004580477873484,
47,type1_sim,20,0,0.0,3,3,0,0.01,mse,,,,0.8916666666666667,0.1104166666666666,0.2270833333333333,,,,,0.0186772952477137,0.6610622078180313,0.0004854102929433,
48,type1_sim,20,0,0.0,3,3,0,0.015,mse,,,,0.9166666666666666,0.1145833333333333,0.2666666666666666,,,,,0.0203671301404635,0.7074816356102626,0.0005193988482157,
49,type1_sim,20,0,0.0,3,3,0,0.02,mse,,,,0.9333333333333332,0.0916666666666666,0.30625,,,,,0.0201186532775561,0.7144843280315399,0.0005187670389811,
50,type1_sim,20,0,0.0,4,3,0,0.0,mse,,,,0.46875,0.0875,0.1291666666666666,,,,,0.0186711837848027,0.6945056820909182,0.0004927729566891,
51,type1_sim,20,0,0.0,4,3,0,0.005,mse,,,,0.90625,0.1229166666666666,0.2020833333333333,,,,,0.0204472035169601,0.7009419277310371,0.0005117396513621,
52,type1_sim,20,0,0.0,4,3,0,0.01,mse,,,,0.9229166666666668,0.1020833333333333,0.2645833333333333,,,,,0.0166378463308016,0.6418450951576233,0.00045056194067,
53,type1_sim,20,0,0.0,4,3,0,0.015,mse,,,,0.94375,0.0958333333333333,0.3166666666666666,,,,,0.0181822960575421,0.6738236611088116,0.0005421181519826,
