,set,p,ba,c,theta,skew,u,gamma,loss,stfr,resit,gcm,crt,cpt,rbpt,rbpt2,stfr_time,resit_time,gcm_time,crt_time,cpt_time,rbpt_time,rbpt2_time
0,type1_1,40,0,0,0,0,0,0.0,mse,,,,,,,0.15625,,,,,,,1.827363060414791
1,type1_1,40,0,0,0,0,0,0.005,mse,,,,,,,0.2875,,,,,,,1.7649608547488849
2,type1_1,40,0,0,0,0,0,0.01,mse,,,,,,,0.44375,,,,,,,1.6374758104483287
3,type1_1,40,0,0,0,0,0,0.015,mse,,,,,,,0.6229166666666667,,,,,,,1.7565459777911505
4,type1_1,40,0,0,0,0,0,0.02,mse,,,,,,,0.7895833333333333,,,,,,,1.7117364585399628
5,type1_1,40,0,0,0,0,50,0.0,mse,,,,,,,0.11458333333333333,,,,,,,2.046822354197502
6,type1_1,40,0,0,0,0,50,0.005,mse,,,,,,,0.20833333333333334,,,,,,,0.995087331533432
7,type1_1,40,0,0,0,0,50,0.01,mse,,,,,,,0.325,,,,,,,0.6114244610071182
8,type1_1,40,0,0,0,0,50,0.015,mse,,,,,,,0.5,,,,,,,0.5707776849468549
9,type1_1,40,0,0,0,0,50,0.02,mse,,,,,,,0.6354166666666666,,,,,,,0.5901076460878054
10,type1_1,40,0,0,0,0,100,0.0,mse,,,,,,,0.11666666666666667,,,,,,,0.6290222033858299
11,type1_1,40,0,0,0,0,100,0.005,mse,,,,,,,0.15,,,,,,,0.6500329047441482
12,type1_1,40,0,0,0,0,100,0.01,mse,,,,,,,0.2,,,,,,,0.7323822607596715
13,type1_1,40,0,0,0,0,100,0.015,mse,,,,,,,0.25,,,,,,,0.6832557737827301
14,type1_1,40,0,0,0,0,100,0.02,mse,,,,,,,0.32708333333333334,,,,,,,0.6294850910703341
15,type1_1,40,0,0,0,0,500,0.0,mse,,,,,,,0.13541666666666666,,,,,,,1.1242767130335172
16,type1_1,40,0,0,0,0,500,0.005,mse,,,,,,,0.13125,,,,,,,1.1733507658044497
17,type1_1,40,0,0,0,0,500,0.01,mse,,,,,,,0.13541666666666666,,,,,,,1.1868261367082595
18,type1_1,40,0,0,0,0,500,0.015,mse,,,,,,,0.14166666666666666,,,,,,,1.5598692124088605
19,type1_1,40,0,0,0,0,500,0.02,mse,,,,,,,0.14791666666666667,,,,,,,1.589381663997968
20,type1_1,40,0,0,0,0,1000,0.0,mse,,,,,,,0.10625,,,,,,,2.1474007979035377
21,type1_1,40,0,0,0,0,1000,0.005,mse,,,,,,,0.10416666666666667,,,,,,,2.2177308574318886
22,type1_1,40,0,0,0,0,1000,0.01,mse,,,,,,,0.10416666666666667,,,,,,,2.1969785993297894
23,type1_1,40,0,0,0,0,1000,0.015,mse,,,,,,,0.10416666666666667,,,,,,,2.1857799092928567
24,type1_1,40,0,0,0,0,1000,0.02,mse,,,,,,,0.10416666666666667,,,,,,,2.1942788963516553
25,type1_1,40,1,0,0,0,0,0.0,mse,,,,,,,0.15,,,,,,,0.5164307842652003
26,type1_1,40,1,0,0,0,0,0.005,mse,,,,,,,0.20416666666666666,,,,,,,0.5243140811721484
27,type1_1,40,1,0,0,0,0,0.01,mse,,,,,,,0.3333333333333333,,,,,,,0.5126160661379496
28,type1_1,40,1,0,0,0,0,0.015,mse,,,,,,,0.4979166666666667,,,,,,,0.524190577864647
29,type1_1,40,1,0,0,0,0,0.02,mse,,,,,,,0.6583333333333333,,,,,,,0.5221681038538615
30,type1_1,40,1,0,0,0,50,0.0,mse,,,,,,,0.1125,,,,,,,0.5757582023739815
31,type1_1,40,1,0,0,0,50,0.005,mse,,,,,,,0.18958333333333333,,,,,,,0.5792852078874906
32,type1_1,40,1,0,0,0,50,0.01,mse,,,,,,,0.31875,,,,,,,0.5691101282835007
33,type1_1,40,1,0,0,0,50,0.015,mse,,,,,,,0.4583333333333333,,,,,,,0.5742156445980072
34,type1_1,40,1,0,0,0,50,0.02,mse,,,,,,,0.5895833333333333,,,,,,,0.5591472615798314
35,type1_1,40,1,0,0,0,100,0.0,mse,,,,,,,0.09375,,,,,,,0.6236220573385557
36,type1_1,40,1,0,0,0,100,0.005,mse,,,,,,,0.15,,,,,,,0.6288905585805575
37,type1_1,40,1,0,0,0,100,0.01,mse,,,,,,,0.20416666666666666,,,,,,,0.6370381638407707
38,type1_1,40,1,0,0,0,100,0.015,mse,,,,,,,0.23958333333333334,,,,,,,0.6340265979369482
39,type1_1,40,1,0,0,0,100,0.02,mse,,,,,,,0.30833333333333335,,,,,,,0.6348490665356318
40,type1_1,40,1,0,0,0,500,0.0,mse,,,,,,,0.11458333333333333,,,,,,,1.1553364803393682
41,type1_1,40,1,0,0,0,500,0.005,mse,,,,,,,0.13125,,,,,,,1.1561578631401062
42,type1_1,40,1,0,0,0,500,0.01,mse,,,,,,,0.13958333333333334,,,,,,,1.1388530438145001
43,type1_1,40,1,0,0,0,500,0.015,mse,,,,,,,0.13541666666666666,,,,,,,1.1454231436053912
44,type1_1,40,1,0,0,0,500,0.02,mse,,,,,,,0.14166666666666666,,,,,,,1.1445826331774394
45,type1_1,40,1,0,0,0,1000,0.0,mse,,,,,,,0.10833333333333334,,,,,,,3.114097507794698
46,type1_1,40,1,0,0,0,1000,0.005,mse,,,,,,,0.10416666666666667,,,,,,,2.2233296632766724
47,type1_1,40,1,0,0,0,1000,0.01,mse,,,,,,,0.10416666666666667,,,,,,,2.303648002942403
48,type1_1,40,1,0,0,0,1000,0.015,mse,,,,,,,0.10625,,,,,,,2.5602949420611063
49,type1_1,40,1,0,0,0,1000,0.02,mse,,,,,,,0.10416666666666667,,,,,,,2.376652211944262
50,type1_1,40,2,0,0,0,0,0.0,mse,,,,,,,0.16458333333333333,,,,,,,0.5320140028993289
51,type1_1,40,2,0,0,0,0,0.005,mse,,,,,,,0.23541666666666666,,,,,,,0.5459457501769066
52,type1_1,40,2,0,0,0,0,0.01,mse,,,,,,,0.3625,,,,,,,0.5441999331116676
53,type1_1,40,2,0,0,0,0,0.015,mse,,,,,,,0.5,,,,,,,0.5469743718703588
54,type1_1,40,2,0,0,0,0,0.02,mse,,,,,,,0.6583333333333333,,,,,,,0.540921242038409
55,type1_1,40,2,0,0,0,50,0.0,mse,,,,,,,0.11458333333333333,,,,,,,0.6137469301621119
56,type1_1,40,2,0,0,0,50,0.005,mse,,,,,,,0.20833333333333334,,,,,,,0.6204268182317416
57,type1_1,40,2,0,0,0,50,0.01,mse,,,,,,,0.3145833333333333,,,,,,,0.6059115678071976
58,type1_1,40,2,0,0,0,50,0.015,mse,,,,,,,0.4395833333333333,,,,,,,0.6086687525113423
59,type1_1,40,2,0,0,0,50,0.02,mse,,,,,,,0.5875,,,,,,,0.6107695500055949
60,type1_1,40,2,0,0,0,100,0.0,mse,,,,,,,0.11875,,,,,,,0.6571327105164528
61,type1_1,40,2,0,0,0,100,0.005,mse,,,,,,,0.16458333333333333,,,,,,,0.681067347029845
