,set,p,ba,c,theta,skew,gamma,loss,stfr,resit,gcm,crt,cpt,rbpt,rbpt2,stfr_time,resit_time,gcm_time,crt_time,cpt_time,rbpt_time,rbpt2_time
0,type1_1,30,0,0,0,0,0.0,mse,,,,0.0625,0.125,0.16666666666666666,,,,,0.03265521923700968,0.8757878045241038,0.0008277197678883871,
1,type1_1,30,0,0,0,0,0.0033333333333333335,mse,,,,0.08333333333333333,0.14583333333333334,0.10416666666666667,,,,,0.026840577522913616,0.8783614287773768,0.0007430414358774821,
2,type1_1,30,0,0,0,0,0.006666666666666667,mse,,,,0.08333333333333333,0.14583333333333334,0.08333333333333333,,,,,0.025627116362253826,0.8755315790573756,0.000748857855796814,
3,type1_1,30,0,0,0,0,0.01,mse,,,,0.08333333333333333,0.125,0.08333333333333333,,,,,0.024915074308713276,0.8558333516120911,0.0008179346720377604,
4,type1_1,30,0,0,0,0,0.013333333333333334,mse,,,,0.08333333333333333,0.125,0.08333333333333333,,,,,0.026509140928586323,0.8917290717363358,0.0007398724555969238,
5,type1_1,30,0,0,0,0,0.016666666666666666,mse,,,,0.08333333333333333,0.125,0.0625,,,,,0.026346464951833088,0.9162177940209707,0.0007512122392654419,
6,type1_1,30,0,0,0,0,0.02,mse,,,,0.10416666666666667,0.125,0.0625,,,,,0.02991163730621338,1.0466804057359695,0.0010202874739964802,
7,type1_1,30,0,0,2,0,0.0,mse,,,,0.3541666666666667,0.125,0.25,,,,,0.02552931010723114,0.8727549066146215,0.0007933229207992554,
8,type1_1,30,0,0,2,0,0.0033333333333333335,mse,,,,0.3541666666666667,0.14583333333333334,0.1875,,,,,0.02473979691664378,0.855434795220693,0.00075511634349823,
9,type1_1,30,0,0,2,0,0.006666666666666667,mse,,,,0.3541666666666667,0.14583333333333334,0.20833333333333334,,,,,0.02617846429347992,0.8725679566462835,0.0007244547208150228,
10,type1_1,30,0,0,2,0,0.01,mse,,,,0.3541666666666667,0.125,0.20833333333333334,,,,,0.02520880103111267,0.8646825204292933,0.000758051872253418,
11,type1_1,30,0,0,2,0,0.013333333333333334,mse,,,,0.375,0.125,0.20833333333333334,,,,,0.025218258301417034,0.8540345132350922,0.000770270824432373,
12,type1_1,30,0,0,2,0,0.016666666666666666,mse,,,,0.3958333333333333,0.125,0.20833333333333334,,,,,0.02488027513027191,0.866788869102796,0.0007666101058324178,
13,type1_1,30,0,0,2,0,0.02,mse,,,,0.3958333333333333,0.125,0.20833333333333334,,,,,0.024925515055656433,0.8741645614306132,0.0007280558347702026,
14,type1_1,30,0,0,4,0,0.0,mse,,,,0.375,0.125,0.2708333333333333,,,,,0.0254737784465154,0.8671917617321014,0.000740701953570048,
15,type1_1,30,0,0,4,0,0.0033333333333333335,mse,,,,0.4583333333333333,0.14583333333333334,0.22916666666666666,,,,,0.024317021171251934,0.8676580488681793,0.0007340461015701294,
16,type1_1,30,0,0,4,0,0.006666666666666667,mse,,,,0.5,0.14583333333333334,0.22916666666666666,,,,,0.025020167231559753,0.8598484794298807,0.0007310956716537476,
17,type1_1,30,0,0,4,0,0.01,mse,,,,0.5208333333333334,0.125,0.25,,,,,0.026036232709884644,0.8475012431542078,0.000740384062131246,
18,type1_1,30,0,0,4,0,0.013333333333333334,mse,,,,0.5625,0.125,0.2708333333333333,,,,,0.026293898622194927,0.9114370793104172,0.0010020981232325237,
19,type1_1,30,0,0,4,0,0.016666666666666666,mse,,,,0.6041666666666666,0.125,0.2708333333333333,,,,,0.02513362467288971,0.8653505792220434,0.000742266575495402,
20,type1_1,30,0,0,4,0,0.02,mse,,,,0.6458333333333334,0.125,0.3125,,,,,0.025796785950660706,0.8649686574935913,0.0008240491151809692,
21,type1_1,30,0,0,6,0,0.0,mse,,,,0.4583333333333333,0.125,0.2916666666666667,,,,,0.024567847450574238,0.8608279824256897,0.000822742780049642,
22,type1_1,30,0,0,6,0,0.0033333333333333335,mse,,,,0.5416666666666666,0.14583333333333334,0.22916666666666666,,,,,0.02584901452064514,0.8681906511386236,0.0007513463497161865,
23,type1_1,30,0,0,6,0,0.006666666666666667,mse,,,,0.5416666666666666,0.14583333333333334,0.25,,,,,0.02456827958424886,0.8597467939058939,0.0008938809235890707,
24,type1_1,30,0,0,6,0,0.01,mse,,,,0.6041666666666666,0.125,0.2916666666666667,,,,,0.024861087401707966,0.847128763794899,0.0007193237543106079,
25,type1_1,30,0,0,6,0,0.013333333333333334,mse,,,,0.6666666666666666,0.125,0.3333333333333333,,,,,0.025639002521832783,0.8699800024429957,0.0008805890878041586,
26,type1_1,30,0,0,6,0,0.016666666666666666,mse,,,,0.6875,0.125,0.3958333333333333,,,,,0.02450077732404073,0.8549574861923853,0.0007431209087371826,
27,type1_1,30,0,0,6,0,0.02,mse,,,,0.6875,0.125,0.3958333333333333,,,,,0.02638678252696991,0.8635841806729635,0.0007211863994598389,
28,type1_1,30,1,0,0,0,0.0,mse,,,,0.125,0.08333333333333333,0.125,,,,,0.025371521711349487,0.8713207791248957,0.0007539689540863037,
29,type1_1,30,1,0,0,0,0.0033333333333333335,mse,,,,0.10416666666666667,0.041666666666666664,0.08333333333333333,,,,,0.024077430367469788,0.8675923397143682,0.0007225126028060913,
30,type1_1,30,1,0,0,0,0.006666666666666667,mse,,,,0.10416666666666667,0.0625,0.0625,,,,,0.024225905537605286,0.8584020187457403,0.0007154097159703573,
31,type1_1,30,1,0,0,0,0.01,mse,,,,0.10416666666666667,0.0625,0.0625,,,,,0.024786869684855144,0.8819234669208527,0.0007234613100687662,
32,type1_1,30,1,0,0,0,0.013333333333333334,mse,,,,0.10416666666666667,0.0625,0.0625,,,,,0.025970712304115295,0.8705534040927887,0.0007234861453374227,
33,type1_1,30,1,0,0,0,0.016666666666666666,mse,,,,0.10416666666666667,0.0625,0.0625,,,,,0.025638972719510395,0.8675918132066727,0.0007188022136688232,
34,type1_1,30,1,0,0,0,0.02,mse,,,,0.10416666666666667,0.0625,0.0625,,,,,0.024324581027030945,0.8521588345368704,0.0007474621136983236,
35,type1_1,30,1,0,2,0,0.0,mse,,,,0.3125,0.08333333333333333,0.16666666666666666,,,,,0.023961663246154785,0.8623024970293045,0.0007645736138025919,
36,type1_1,30,1,0,2,0,0.0033333333333333335,mse,,,,0.3958333333333333,0.041666666666666664,0.20833333333333334,,,,,0.02575168013572693,0.8685499628384908,0.0007871687412261963,
37,type1_1,30,1,0,2,0,0.006666666666666667,mse,,,,0.3958333333333333,0.0625,0.20833333333333334,,,,,0.02656211455663045,0.8706767956415812,0.0007544507582982382,
38,type1_1,30,1,0,2,0,0.01,mse,,,,0.3958333333333333,0.0625,0.20833333333333334,,,,,0.02522433300813039,0.8738713016112646,0.0007867117722829183,
39,type1_1,30,1,0,2,0,0.013333333333333334,mse,,,,0.3958333333333333,0.0625,0.20833333333333334,,,,,0.02549535036087036,0.8636326044797897,0.0007475614547729492,
40,type1_1,30,1,0,2,0,0.016666666666666666,mse,,,,0.3958333333333333,0.0625,0.20833333333333334,,,,,0.024716615676879883,0.870672270655632,0.0008144428332646688,
41,type1_1,30,1,0,2,0,0.02,mse,,,,0.4166666666666667,0.0625,0.20833333333333334,,,,,0.025035853187243145,0.8642290035883585,0.0007573912541071574,
42,type1_1,30,1,0,4,0,0.0,mse,,,,0.4166666666666667,0.08333333333333333,0.14583333333333334,,,,,0.025930732488632202,0.8734562347332636,0.0007643898328145345,
43,type1_1,30,1,0,4,0,0.0033333333333333335,mse,,,,0.5,0.041666666666666664,0.22916666666666666,,,,,0.025182679295539856,0.8577825129032135,0.0007257709900538126,
44,type1_1,30,1,0,4,0,0.006666666666666667,mse,,,,0.5,0.0625,0.22916666666666666,,,,,0.025527313351631165,0.8494060436884562,0.0007286667823791504,
45,type1_1,30,1,0,4,0,0.01,mse,,,,0.5416666666666666,0.0625,0.25,,,,,0.02478998899459839,0.8634921212991079,0.0007583399613698324,
46,type1_1,30,1,0,4,0,0.013333333333333334,mse,,,,0.5416666666666666,0.0625,0.2708333333333333,,,,,0.02586039900779724,0.8634418298800787,0.0007444471120834351,
47,type1_1,30,1,0,4,0,0.016666666666666666,mse,,,,0.5833333333333334,0.0625,0.2708333333333333,,,,,0.02610352138678233,0.8631744633118311,0.000758578379948934,
48,type1_1,30,1,0,4,0,0.02,mse,,,,0.625,0.0625,0.3125,,,,,0.024410953124364216,0.8744516422351202,0.000766297181447347,
49,type1_1,30,1,0,6,0,0.0,mse,,,,0.4583333333333333,0.08333333333333333,0.1875,,,,,0.0270481805006663,0.8651902178923289,0.0007282992204030355,
50,type1_1,30,1,0,6,0,0.0033333333333333335,mse,,,,0.5208333333333334,0.041666666666666664,0.22916666666666666,,,,,0.025387669603029888,0.8747348338365555,0.0008011708656946818,
51,type1_1,30,1,0,6,0,0.006666666666666667,mse,,,,0.5625,0.0625,0.22916666666666666,,,,,0.024848634998003643,0.8694938073555628,0.00074938436349233,
52,type1_1,30,1,0,6,0,0.01,mse,,,,0.5833333333333334,0.0625,0.2708333333333333,,,,,0.026215821504592896,0.870159183939298,0.0007734795411427816,
53,type1_1,30,1,0,6,0,0.013333333333333334,mse,,,,0.625,0.0625,0.3541666666666667,,,,,0.024929781754811604,0.8715811868508657,0.0008480300505956014,
54,type1_1,30,1,0,6,0,0.016666666666666666,mse,,,,0.6875,0.0625,0.375,,,,,0.025297974546750385,0.8756510814030966,0.0008250077565511068,
55,type1_1,30,1,0,6,0,0.02,mse,,,,0.6875,0.0625,0.3958333333333333,,,,,0.024146462480227154,0.8746995727221171,0.000844841202100118,
56,type1_1,30,2,0,0,0,0.0,mse,,,,0.125,0.08333333333333333,0.10416666666666667,,,,,0.0260425607363383,0.8752840509017309,0.0007564375797907511,
57,type1_1,30,2,0,0,0,0.0033333333333333335,mse,,,,0.10416666666666667,0.08333333333333333,0.08333333333333333,,,,,0.02851244807243347,0.9348728855450948,0.0008472601572672526,
58,type1_1,30,2,0,0,0,0.006666666666666667,mse,,,,0.125,0.08333333333333333,0.0625,,,,,0.026567071676254272,0.8736688296000162,0.0007822364568710327,
59,type1_1,30,2,0,0,0,0.01,mse,,,,0.125,0.0625,0.0625,,,,,0.025350213050842285,0.8650211542844772,0.0007509936889012655,
60,type1_1,30,2,0,0,0,0.013333333333333334,mse,,,,0.125,0.08333333333333333,0.0625,,,,,0.026511043310165405,0.8849120289087296,0.0007704645395278931,
61,type1_1,30,2,0,0,0,0.016666666666666666,mse,,,,0.125,0.08333333333333333,0.041666666666666664,,,,,0.025963976979255676,0.8652903437614441,0.0007497866948445638,
62,type1_1,30,2,0,0,0,0.02,mse,,,,0.125,0.08333333333333333,0.041666666666666664,,,,,0.025466904044151306,0.8609907974799474,0.0008145372072855631,
63,type1_1,30,2,0,2,0,0.0,mse,,,,0.2916666666666667,0.08333333333333333,0.10416666666666667,,,,,0.025509769717852276,0.8425843715667725,0.0007364153861999512,
64,type1_1,30,2,0,2,0,0.0033333333333333335,mse,,,,0.3541666666666667,0.08333333333333333,0.1875,,,,,0.02461417516072591,0.8734685033559799,0.0007567852735519409,
65,type1_1,30,2,0,2,0,0.006666666666666667,mse,,,,0.3541666666666667,0.08333333333333333,0.1875,,,,,0.024943267305692036,0.865093951423963,0.0009383509556452433,
66,type1_1,30,2,0,2,0,0.01,mse,,,,0.375,0.0625,0.20833333333333334,,,,,0.025487417976061504,0.8674760858217875,0.0007233222325642904,
67,type1_1,30,2,0,2,0,0.013333333333333334,mse,,,,0.375,0.08333333333333333,0.20833333333333334,,,,,0.025801827510197956,0.8467703213294347,0.0007912019888559977,
68,type1_1,30,2,0,2,0,0.016666666666666666,mse,,,,0.375,0.08333333333333333,0.20833333333333334,,,,,0.024677043159802754,0.8943959375222524,0.0008816023667653402,
69,type1_1,30,2,0,2,0,0.02,mse,,,,0.375,0.08333333333333333,0.20833333333333334,,,,,0.024975871046384174,0.8483442664146423,0.0007234762112299601,
70,type1_1,30,2,0,4,0,0.0,mse,,,,0.3541666666666667,0.08333333333333333,0.14583333333333334,,,,,0.02526571849981944,0.8528348108132681,0.0007257213195164999,
71,type1_1,30,2,0,4,0,0.0033333333333333335,mse,,,,0.5,0.08333333333333333,0.22916666666666666,,,,,0.02481701970100403,0.8575031111637751,0.0007589260737101237,
72,type1_1,30,2,0,4,0,0.006666666666666667,mse,,,,0.5,0.08333333333333333,0.22916666666666666,,,,,0.024085397521654766,0.8537688106298447,0.0007359832525253296,
73,type1_1,30,2,0,4,0,0.01,mse,,,,0.5625,0.0625,0.22916666666666666,,,,,0.02410605053106944,0.849855030576388,0.0007223039865493774,
74,type1_1,30,2,0,4,0,0.013333333333333334,mse,,,,0.5625,0.08333333333333333,0.2708333333333333,,,,,0.02392783761024475,0.8592173159122467,0.000792438785235087,
75,type1_1,30,2,0,4,0,0.016666666666666666,mse,,,,0.625,0.08333333333333333,0.2708333333333333,,,,,0.025729015469551086,0.8758430977662405,0.000759671131769816,
76,type1_1,30,2,0,4,0,0.02,mse,,,,0.625,0.08333333333333333,0.3125,,,,,0.025422935684521992,0.8715507984161377,0.0007325063149134318,
77,type1_1,30,2,0,6,0,0.0,mse,,,,0.3958333333333333,0.08333333333333333,0.14583333333333334,,,,,0.024412622054417927,0.864011600613594,0.0007898906866709391,
78,type1_1,30,2,0,6,0,0.0033333333333333335,mse,,,,0.5416666666666666,0.08333333333333333,0.22916666666666666,,,,,0.024774099389712017,0.8720174928506216,0.0007479588190714518,
79,type1_1,30,2,0,6,0,0.006666666666666667,mse,,,,0.6041666666666666,0.08333333333333333,0.25,,,,,0.02636021375656128,0.8549658556779226,0.000825504461924235,
80,type1_1,30,2,0,6,0,0.01,mse,,,,0.625,0.0625,0.2708333333333333,,,,,0.024794985850652058,0.854737346371015,0.0008270243803660075,
81,type1_1,30,2,0,6,0,0.013333333333333334,mse,,,,0.6666666666666666,0.08333333333333333,0.3541666666666667,,,,,0.02406240999698639,0.8518572201331457,0.000746503472328186,
