,set,ba,c,theta,skew,gamma,loss,stfr,resit,gcm,crt,cpt,rbpt,rbpt2
0,type1_1,0,0.0,0.0,10,0.0,mse,0.08,0.08,0.16,0.08,0.08,0.08,0.0
1,type1_1,0,0.0,0.0,10,0.006666666666666667,mse,0.25,0.66,0.59,0.09,0.08,0.08,0.0
2,type1_1,0,0.0,0.0,10,0.013333333333333334,mse,0.67,1.0,0.99,0.09,0.08,0.08,0.0
3,type1_1,0,0.0,0.0,10,0.02,mse,0.91,1.0,0.99,0.09,0.08,0.08,0.0
4,type1_1,0,0.0,0.0,10,0.02666666666666667,mse,0.99,1.0,0.99,0.08,0.08,0.08,0.0
5,type1_1,0,0.0,0.0,10,0.03333333333333333,mse,0.99,1.0,0.99,0.08,0.08,0.08,0.0
6,type1_1,0,0.0,0.0,10,0.04,mse,0.99,1.0,0.99,0.08,0.08,0.08,0.0
7,type1_2,0,0.0,0.0,10,0.0,mse,,,,0.09,0.16,0.08,0.0
8,type1_2,0,0.0,1.0,10,0.0,mse,,,,0.41,0.16,0.16,0.0
9,type1_2,0,0.0,2.0,10,0.0,mse,,,,0.57,0.16,0.32,0.0
10,type1_2,0,0.0,3.0,10,0.0,mse,,,,0.58,0.16,0.24,0.0
11,type1_2,0,0.0,4.0,10,0.0,mse,,,,0.58,0.16,0.24,0.0
12,type1_2,0,0.0,5.0,10,0.0,mse,,,,0.58,0.16,0.24,0.0
13,type1_2,0,0.0,6.0,10,0.0,mse,,,,0.58,0.16,0.24,0.0
14,power,0,0.0,0.0,10,0.0,mse,,,,,0.08,0.08,0.0
15,power,0,0.08333333333333333,0.0,10,0.0,mse,,,,,0.49,0.33,0.17
16,power,0,0.16666666666666666,0.0,10,0.0,mse,,,,,0.81,0.57,0.74
17,power,0,0.25,0.0,10,0.0,mse,,,,,0.98,0.81,0.99
18,power,0,0.3333333333333333,0.0,10,0.0,mse,,,,,1.0,0.9,1.0
19,power,0,0.41666666666666663,0.0,10,0.0,mse,,,,,1.0,0.92,1.0
20,power,0,0.5,0.0,10,0.0,mse,,,,,1.0,1.0,1.0
21,type1_1,0,0.0,0.0,10,0.0,mae,0.08,0.08,0.16,0.08,0.08,0.08,0.0
22,type1_1,0,0.0,0.0,10,0.006666666666666667,mae,0.24,0.66,0.59,0.09,0.08,0.09,0.0
23,type1_1,0,0.0,0.0,10,0.013333333333333334,mae,0.67,1.0,0.99,0.09,0.08,0.09,0.0
24,type1_1,0,0.0,0.0,10,0.02,mae,1.0,1.0,0.99,0.09,0.08,0.09,0.0
25,type1_1,0,0.0,0.0,10,0.02666666666666667,mae,1.0,1.0,0.99,0.08,0.08,0.09,0.0
26,type1_1,0,0.0,0.0,10,0.03333333333333333,mae,1.0,1.0,0.99,0.08,0.08,0.08,0.0
27,type1_1,0,0.0,0.0,10,0.04,mae,1.0,1.0,0.99,0.08,0.08,0.08,0.0
28,type1_2,0,0.0,0.0,10,0.0,mae,,,,0.09,0.16,0.01,0.0
29,type1_2,0,0.0,1.0,10,0.0,mae,,,,0.41,0.16,0.33,0.0
30,type1_2,0,0.0,2.0,10,0.0,mae,,,,0.57,0.16,0.4,0.0
31,type1_2,0,0.0,3.0,10,0.0,mae,,,,0.58,0.16,0.48,0.0
32,type1_2,0,0.0,4.0,10,0.0,mae,,,,0.58,0.16,0.48,0.0
33,type1_2,0,0.0,5.0,10,0.0,mae,,,,0.58,0.16,0.48,0.0
34,type1_2,0,0.0,6.0,10,0.0,mae,,,,0.58,0.16,0.48,0.0
35,power,0,0.0,0.0,10,0.0,mae,,,,,0.08,0.0,0.0
36,power,0,0.08333333333333333,0.0,10,0.0,mae,,,,,0.49,0.17,0.17
37,power,0,0.16666666666666666,0.0,10,0.0,mae,,,,,0.81,0.41,0.57
38,power,0,0.25,0.0,10,0.0,mae,,,,,0.98,0.57,0.91
39,power,0,0.3333333333333333,0.0,10,0.0,mae,,,,,1.0,0.81,0.99
40,power,0,0.41666666666666663,0.0,10,0.0,mae,,,,,1.0,0.9,1.0
41,power,0,0.5,0.0,10,0.0,mae,,,,,1.0,1.0,1.0
42,type1_1,1,0.0,0.0,10,0.0,mse,0.16,0.01,0.16,0.01,0.02,0.0,0.0
43,type1_1,1,0.0,0.0,10,0.006666666666666667,mse,0.01,0.51,0.42,0.09,0.17,0.08,0.0
44,type1_1,1,0.0,0.0,10,0.013333333333333334,mse,0.58,0.92,0.76,0.09,0.17,0.08,0.0
